table_check,URL,qualification,Expertise,Titles,First Name,Last Name
"อังคาร 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 2,4 08:00 - 12:00 น. สัปดาห์ที่ 2,4 13:00 - 16:00 น. สัปดาห์ที่ 2,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1247,,อายุรศาสตร์โรคภูมิแพ้,นพ,ธนชิต,ไกรกีรติ
"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 17:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1227,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553วิทยาศาสตร์การแพทย์คลินิก คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2557วุฒิบัตรสาขาเวชศาสตร์ฟื้นฟู คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2559,เวชศาสตร์ฟื้นฟู,พญ,ธนพร,เอี่ยมพรรัตน์
"ศุกร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1110,แพทยศาสตรบัณฑิต (เกียรตินิยมอันดับ 1) พ.ศ.2552ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก มหาวิทยาลัยมหิดล พ.ศ.2556วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาอายุรศาสตร์ โรงพยาบาลศิริราช พ.ศ.2558วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาอายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม โรงพยาบาลศิริราช พ.ศ.2561,อายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม,ผศ. พญ,ธนวรรณ,คงมาลัย
"จันทร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 15:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 13:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,3,5 08:00 - 12:00 น. สัปดาห์ที่ 2,4 13:00 - 15:30 น. สัปดาห์ที่ 1,3,5 13:00 - 18:00 น. สัปดาห์ที่ 2,4 อาทิตย์ 08:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=539,"แพทยศาสตรบัณฑิต. คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2550วุฒิบัตรสาขาตจวิทยา, คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2559",ตจวิทยา,พญ,ธนวรรณ,เอี่ยมพรรัตน์
"พฤหัสบดี 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1242,,อายุรศาสตร์โรคระบบทางเดินอาหาร,นพ,ธนวัชร,จีระตระกูล
"พฤหัสบดี 16:30 - 19:00 น. สัปดาห์ที่ 1,2,3,4 16:30 - 19:00 น. สัปดาห์ที่ 5 ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4 09:00 - 12:00 น. สัปดาห์ที่ 5 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=679,โรคหัวใจ ใครเสี่ยง?,อายุรศาสตร์โรคหัวใจ,นพ,ธนัญชัย,ธนสัมฤทธิ์
"จันทร์ 08:30 - 09:20 น. สัปดาห์ที่ 1,2,3,4,5 12:30 - 14:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 15:00 - 16:30 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=121,Membership of The Thai Medical CouncilMembership of The Heart Association of ThailandMembership of The Royal College of Physicians of Thailand,การตรวจหัวใจด้วยเครื่องคลื่นแม่เหล็กไฟฟ้าและเอ็กซเรย์คอมพิวเตอร์,ศ. พญ,ธนัญญา,บุณยศิรินันท์
กรุณานัดล่วงหน้า,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1331,,-,อ. นพ,ธนา,อังสุวรังษี
กรุณานัดล่วงหน้า,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1105,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลวุฒิบัตรสาขาศัลยศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2560ผู้เชี่ยวชาญเฉพาะทางอนุสาขาสาขาศัลยศาสตร์ศีรษะ คอ และเต้านม คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2562,ศัลยศาสตร์ศีรษะ คอ และเต้านม,นพ,ธนากร,ธราพงษ์พันธ์
"อังคาร 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1240,รู้และเข้าใจ โรคภายในของผู้หญิง,สูติศาสตร์นรีเวชวิทยา,อ. พญ,ธนาภา,เรขาวศิน พินนิงตัน
"พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 13:00 - 16:00 น. สัปดาห์ที่ 2,4 13:00 - 16:00 น. สัปดาห์ที่ 1,3,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=336,,เวชศาสตร์ฟื้นฟู,ผศ. พญ,ธนิษฐา,ธนาเกียรติภิญโญ
"พุธ 16:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=680,,อายุรศาสตร์โรคติดเชื้อ,ผศ. นพ,ธเนศ,ชัยสถาผล
"เสาร์ 08:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=584,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2549วุฒิบัตรสาขาศัลยศาสตร์ออร์โธปิดิกส์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2556ผู้เชี่ยวชาญเฉพาะทาง สาขาการผ่าตัดกระดูกสันหลัง คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2557ผู้เชี่ยวชาญเฉพาะทาง สาขากุมารศัลยศาสตร์ออร์โธปิดิกส์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2558,โรคกระดูกและข้อในเด็ก โรคกระดูกสันหลังในเด็ก โรคกรัดูกสันหลัง,ผศ. นพ,ธเนศ,อริยะวัตรกุล
"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 14:30 - 17:30 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=374,การถนอมสายตา,จักษุเด็กและตาเข,รศ. นพ,ธรรมนูญ,สุรชาติกำธรกุล
"พุธ 09:00 - 12:00 น. สัปดาห์ที่ 2,4 ศุกร์ 17:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=402,"แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลวุฒิบัตรศัลยศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลResearch Fellow, University of HeidelbergประเทศเยอรมันReseach Fellow German Cancer Research CenterประเทศเยอรมันClinical Fellow, Tokyo Medical and Dental Universityประเทศญี่ปุ่น",การผ่าตัดกระเพาะอาหาร และหลอดอาหาร การผ่าตัดโดยการส่องกล้อง,รศ. นพ,ธรรมวัฒน์,ปรคนธรรพ์
"พฤหัสบดี 16:30 - 19:30 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=243,ปัสสาวะบ่อย ปัสสาวะขัดกระเพาะปัสสาวะอักเสบหรือเปล่า?,ศัลยศาสตร์ยูโร,รศ. นพ,ธวัชชัย,ทวีมั่นคงทรัพย์
"จันทร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 16:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 16:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 07:30 - 08:30 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=182,แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2521แพทย์ประจำบ้าน สาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2527แพทย์ประจำบ้าน สาขาอายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2537,ต่อมไร้ท่อและเมตะบอลิสม,รศ. นพ,ธวัชชัย,พีรพัฒน์ดิษฐ์
"จันทร์ 09:00 - 10:40 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1207,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553วุฒิบัตรสาขาศัลยศาสตร์ยูโรวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2559ประกาศนียบัตรระบบทางเดินปัสสาวะและสืบพันธุ์เด็ก มหาวิทยาลัยออตตาวา ประเทศแคนาดา พ.ศ.2563ประกาศนียบัตรสุขภาพเพศชาย มหาวิทยาลัยออตตาวา ประเทศแคนาดา พ.ศ.2564,ศัลยศาสตร์ยูโร,อ. นพ,ธวัชชัย,มั่นคงศรีสุข
"อาทิตย์ 15:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=219,"แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2535ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก มหาวิทยาลัยมหิดล พ.ศ.2537วุฒิบัตรสาขาศัลยศาสตร์ แพทยสภา พ.ศ.2539'Doktors der Mcdizin', University Hospital Eppendorf, Hamburg ประเทศเยอรมนี พ.ศ.2546",ศัลยศาสตร์ทั่วไป,ศ. นพ,ธวัชชัย,อัครวิพุธ
"อังคาร 13:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 15:30 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=659,ริ้วรอย ปัญหาที่ดูแลได้ด้วยโบท็อกซ์,โรคผิวหนัง ศัลยกรรมเลเซอร์และความงาม การรักษาริ้วรอยด้วยสารโบท็อกและการฉีดสารเติมเต็ม มะเร็งผิวหนัง และการผ่าตัดเนื้องอก,ผศ. พญ,ธัญญา,เตชะพิเชฐวนิช
"พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=220,อย่าให้ลำไส้แปรปรวนรบกวนชีวิตคุณ,"ภาวะโรคมะเร็งทางเดินอาหาร, ภาควะโรคอ้วน, การให้สารอาหารทางหลอดเลือดและทางเดินอาหาร",ผศ. นพ,ธัญเดช,นิมมานวุฒิพงษ์
"ศุกร์ 13:00 - 16:30 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1209,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553วุฒิบัตรสาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2560วุฒิบัตรอนุสาขาอายุรศาสตร์โรคระบบหายใจและภาวะวิกฤตโรคระบบการหายใจ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2562,อายุรศาสตร์โรคระบบทางเดินหายใจ,พญ,ธันยพร,ชื่นจิตกุลถาวร
"จันทร์ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 09:00 - 10:30 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 2,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=344,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์ พ.ศ.2544วุฒิบัตรอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2550วุฒิบัตรอายุรศาสตร์โรคระบบทางเดินอาหาร คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2554ประกาศนียบัตรการอบรมหลักสูตร EUS-ERCP คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2556,อายุรศาสตร์โรคระบบทางเดินอาหาร,นพ,ธันยวัจน์,ปรางค์บุณยรัตน์
กรุณานัดล่วงหน้า,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1111,เฝ้าระวังศีรษะกระแทก 72 ชั่วโมง,เวชศาสตร์ฉุกเฉิน,พญ,ธันยา,ปิติยะกูลชร
"จันทร์ 09:00 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=39,"พ.บ. คณะแพทยศาสตร์ศิริราชพยาบาล, แพทยสภาป.บัณฑิต (สูติศาสตร์-นรีเวชวิทยา) คณะแพทยศาสตร์ศิริราชพยาบาลว.ว.(สูติศาสตร์-นรีเวชวิทยา) คณะแพทยศาสตร์ศิริราชพยาบาล, แพทยสภาว.ว.(เวชศาสตร์การเจริญพันธุ์) คณะแพทยศาสตร์ศิริราชพยาบาล, แพทยสภาResearch fellow of Gynecologic Infertility and Endocrinology, Saitama University, Saitama,ประเทศญี่ปุ่น",เวชศาสตร์การเจริญพันธุ์,รศ. พญ,ธันยารัตน์,วงศ์วนานุรักษ์
จันทร์ 08:30 - 11:30 น. 13:00 - 16:00 น. 16:30 - 19:30 น. พุธ 08:30 - 11:30 น. 13:00 - 16:00 น. 16:30 - 19:30 น. พฤหัสบดี 08:30 - 11:30 น. 13:00 - 16:00 น. 16:30 - 19:30 น. อาทิตย์ 08:30 - 12:00 น. 13:00 - 16:00 น.,https://www.siphhospital.com/th/medical-services/doctor-biography?id=716,ทันตแพทยศาสตร์บัณฑิต คณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2553ประกาศนียบัตรชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก (ปริทันตวิทยา) จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2558วุฒิบัตรปริทันตวิทยา ทันตแพทยสภา พ.ศ.2560,ปริทันตวิทยา,ทพญ,ธันวดี,อิ่มสมบัติ
"ศุกร์ 09:30 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=303,"แพทยศาสตร์บัณฑิต โรงพยาบาลรามาธิบดี พ.ศ.2542ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก มหาวิทยาลัยมหิดล พ.ศ.2545แพทย์ประจำบ้าน สาขาอายุรศาสตร์ โรงพยาบาลรามาธิบดี พ.ศ.2548Research Fellowship in Endocrinology, Johns Hopkins Universityพ.ศ.2549เฟลโลว์ สาขาอายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม โรงพยาบาลศิริราช พ.ศ.2552Visiting Scientist, The Mount Sinai Hospital, University of Torontoพ.ศ.2556",อายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม,รศ. นพ,ธาดา,คุณาวิศรุต
"จันทร์ 15:30 - 18:30 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1231,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่ พ.ศ.2554วุฒิบัตรสาขาอายุรศาสตร์โลหิตวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล พ.ศ.2560,โลหิตวิทยา,อ. พญ,ธาริณี,รุ่งจิรจิตรานนท์
"พุธ 15:00 - 21:00 น. สัปดาห์ที่ 2,3,4,5 15:30 - 20:00 น. สัปดาห์ที่ 1",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1130,"แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลวุฒิบัตรสาขาจิตเวชศาสตร์เด็กและวัยรุ่น คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลThe Family Institute at Northwestern University, M.S. Marriage and Family TherapyCertified Psychiatrist with specialization in Child and Adolescent PsychiatryLicensed to Practice Medicine from The Medical council of ThailandAssociate Licensed Marriage and Family Therapist in Illinois (ALMFT)","จิตเวชศาสตร์เด็กและวัยรุ่น ,ครอบครัวและคู่สมรสบำบัด",อ. พญ,ธิดารัตน์,ปุรณะชัยคีรี
กรุณานัดล่วงหน้า,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1180,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2558วุฒิบัตรสาขารังสีรักษาและมะเร็งวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2562,รังสีแพทย์,อ. นพ,ธีรดนย์,ตรีชัยรัศมี
"จันทร์ 10:00 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5 14:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 14:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 13:00 - 14:00 น. สัปดาห์ที่ 5 13:00 - 15:45 น. สัปดาห์ที่ 1,2,3,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=236,"พ.บ., ป.ชั้นสูง(ศัลยศาสตร์), ว.ว.(ประสาทศัลยศาสตร์)",ศัลยศาสตร์ระบบประสาท,รศ. นพ,ธีรพล,วิทธิเวช
"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 13:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 16:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=221,แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2541วุฒิบัตรสาขาศัลยศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2548,ศัลยศาสตร์ตับ ตับอ่อน และทางเดินน้ำดี,นพ,ธีรยุทธ,กนกรัตนา
"พุธ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=259,"พ.บ., ป.ชั้นสูง(ศัลยศาสตร์), ว.ว.(ศัลยศาสตร์ทรวงอก),FRCST",ศัลยศาสตร์ทรวงอก,ศ.คลินิก นพ,ธีรวิทย์,พันธุ์ชัยเพชร
"ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=318,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2543ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก (ศัลยศาสตร์) มหาวิทยาลัยมหิดล พ.ศ.2547ประกาศนียบัตรหลักสูตรพื้นฐานการผ่าตัด ราชวิทยาลัยศัลยแพทย์แห่งประเทศไทย พ.ศ.2547วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาศัลยศาสตร์ออร์โธปิดิกส์ ราชวิทยาลัยศัลยแพทย์ออร์โธปิดิกส์แห่งประเทศไทย พ.ศ.2550,ศัลยศาสตร์ออร์โธปิดิกส์,ผศ. นพ,ธีรวุฒิ,ธรรมวิบูลย์ศรี
"พุธ 14:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 15:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1192,วิทยาศาสตร์บัณฑิต มหาวิทยาลัยมหิดล พ.ศ.2525แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2527วุฒิบัตรสาขาจิตเวชศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2531,จิตเวชศาสตร์,รศ. นพ,เธียรชัย,งามทิพย์วัฒนา
"ศุกร์ 13:00 - 17:00 น. สัปดาห์ที่ 2,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=1268,,"จิตเวชศาสตร์ทั่วไป, Mindfulness-based therapy",อ. นพ,นที,วีรวรรณ
"อังคาร 16:30 - 19:00 น. สัปดาห์ที่ 1,5 16:30 - 19:30 น. สัปดาห์ที่ 2,4 เสาร์ 13:30 - 16:30 น. สัปดาห์ที่ 1,3,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=79,"แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์ พ.ศ.2540Clinical clerkshipภาควิชาอายุรศาสตร์ โรงพยาบาลศิริราช มหาวิทยาลัยมหิดล พ.ศ.2540Reserch fellow, Division of Gastroenterology, Department of Internal Medicine, University of Michigan Health System, Michiganพ.ศ.2544Intern, Department of Internal Medicine, University of Michigan Health System, Michiganพ.ศ.2545Resident Physician, Department of Internal Medicine, University of Michigan Health System, Michiganพ.ศ.2547Gastroenterology Fellow, Department of Internal Medicine, University of Michigan Health System, Michiganพ.ศ.2550Advanced Gastrointestinal Endoscopy Fellow, Department of Internal Medicine, University of Michigan Health System, Michiganพ.ศ.2551",การส่องกล้องระบบทางเดินอาหาร,รศ. พญ,นนทลี,เผ่าสวัสดิ์
"อังคาร 17:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 10:20 - 13:00 น. สัปดาห์ที่ 5 10:20 - 13:06 น. สัปดาห์ที่ 1,2,3,4",https://www.siphhospital.com/th/medical-services/doctor-biography?id=80,มะเร็ง คืออะไร? (Cancer),อายุรศาสตร์เคมีบำบัด,อ. นพ,นพดล,โสภารัตนาไพศาล
"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 08:00 - 13:00 น. สัปดาห์ที่ 1,2,4,5 08:00 - 13:00 น. สัปดาห์ที่ 3 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,4,5 09:00 - 12:00 น. สัปดาห์ที่ 3 13:00 - 16:00 น. สัปดาห์ที่ 1,2,4,5 13:00 - 16:00 น. สัปดาห์ที่ 3 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=393,นอนกรน โรคหยุดหายใจขณะหลับ(Obstructive Sleep Apnea),มะเร็ง ศีรษะ และลำคอ,พญ,นพมาศ,ขำเปรมศรี
"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 10:00 - 12:00 น. สัปดาห์ที่ 1,3 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",https://www.siphhospital.com/th/medical-services/doctor-biography?id=175,,อายุรศาสตร์โรคไต,พญ,นพรัตน์,เลาวหุตานนท์
